"","Stage1","Stage3","Stage5","Stage7","cluster"
"FakeGeneID018055",0.711689023066234,0.959384954221635,-0.84165100715442,-0.82942297013345,8
"FakeGeneID036882",-0.920286628320827,-0.795207278530747,0.954022667233459,0.761471239618116,7
"FakeGeneID033335",0.923844688969855,0.86240091084577,-1.06573989707754,-0.72050570273808,8
"FakeGeneID030473",-0.822478107328719,-0.953019981203509,0.675002189325148,1.10049589920708,3
"FakeGeneID029433",-0.683036971945984,-0.872730498311282,1.0245843213293,0.531183148927963,4
"FakeGeneID012473",1.00835633659552,0.78305618362336,-0.827053985544925,-0.964358534673953,8
"FakeGeneID034174",0.970624957770891,0.815339229064376,-0.74498680417027,-1.040977382665,1
"FakeGeneID025293",0.709681891171053,0.887634201123213,-0.766598560768362,-0.830717531525904,8
"FakeGeneID001667",-0.818768532656827,-0.962264563286321,0.848164065079041,0.932869030864109,7
"FakeGeneID033788",0.883702427903339,0.944530715743495,-0.740774245544641,-1.08745889810219,1
"FakeGeneID028085",-0.515138600561919,-0.914907243080789,0.0704840280300064,1.3595618156127,6
"FakeGeneID012046",0.860133176754064,-0.548791503831841,0.681525917794979,-0.992867590717199,2
"FakeGeneID012308",0.859177206660806,0.777541911780051,-1.06671185928558,-0.570007259155274,8
"FakeGeneID023367",-0.516942733384825,-1.06953358844501,0.590609321432654,0.995867000397185,3
"FakeGeneID006183",0.843181975092439,1.01135298272866,-0.922646712203055,-0.931888245618048,8
"FakeGeneID011629",1.31352360459581,0.301846504242175,-1.03806427095981,-0.577305837878168,8
"FakeGeneID016275",0.86768167350113,0.780414723833733,-0.81725245065758,-0.830843946677286,8
"FakeGeneID015178",0.990890143916094,0.59682210106739,-1.20289800201243,-0.384814242971057,5
"FakeGeneID029259",-0.688364810670541,-1.07040381160609,0.834176031497515,0.924592590779114,3
"FakeGeneID015908",-0.750456048763878,-0.709380370817405,0.566741775185042,0.893094644396242,3
"FakeGeneID020561",0.598063772000669,1.1490577720164,-1.20257400647381,-0.544547537543259,5
"FakeGeneID005595",0.626421842044744,0.961639150592268,-1.073772449929,-0.514288542708009,5
"FakeGeneID010642",-1.07852809274464,-0.664277839687085,0.832057332541829,0.910748599889895,9
