Col0_rep1.genome.removeStruct.fa	A	T	G	C	A	T	G	C
18nt	0.231	0.378	0.172	0.219	86460	141709	64299	81968
19nt	0.261	0.290	0.139	0.310	105748	117562	56523	125507
20nt	0.219	0.443	0.103	0.235	112041	226344	52584	120055
21nt	0.223	0.555	0.083	0.140	193434	482009	71709	121475
22nt	0.437	0.288	0.118	0.156	278702	183623	75380	99332
23nt	0.352	0.301	0.161	0.186	226370	193506	103425	119538
24nt	0.560	0.216	0.115	0.110	845406	325714	173000	165410
25nt	0.245	0.448	0.134	0.173	89204	163060	48594	62872
26nt	0.220	0.404	0.155	0.221	56044	102668	39438	56266
27nt	0.285	0.330	0.160	0.225	57484	66623	32309	45340
28nt	0.285	0.280	0.183	0.252	47200	46485	30335	41836
29nt	0.295	0.320	0.161	0.225	45129	48928	24611	34413
30nt	0.312	0.325	0.161	0.203	39141	40841	20173	25464

